App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
ChatGPT Plus Pro,PRODUCTIVITY,4.8,50000000,95M,1000000000+,Free,0,Everyone,Productivity,January 3 2026,5.0.0,7.0 and up
Midjourney AI Art,ART_AND_DESIGN,4.7,25000000,185M,100000000+,Free,0,Everyone,Art & Design,January 3 2026,3.2.0,7.0 and up
Notion AI Workspace,PRODUCTIVITY,4.6,18000000,125M,100000000+,Free,0,Everyone,Productivity,January 3 2026,2.5.0,6.0 and up
Canva Pro Plus AI,ART_AND_DESIGN,4.8,35000000,225M,500000000+,Free,0,Everyone,Art & Design,January 3 2026,3.8.0,7.0 and up
Grammarly Premium AI,PRODUCTIVITY,4.7,22000000,85M,100000000+,Free,0,Everyone,Productivity,January 3 2026,4.2.0,6.0 and up
Claude AI Assistant,PRODUCTIVITY,4.9,15000000,75M,50000000+,Free,0,Everyone,Productivity,January 3 2026,1.5.0,7.0 and up
Perplexity AI Search,PRODUCTIVITY,4.6,12000000,55M,50000000+,Free,0,Everyone,Productivity,January 3 2026,2.1.0,6.0 and up
Character AI Plus,SOCIAL,4.5,20000000,95M,100000000+,Free,0,Teen,Social,January 3 2026,1.8.0,6.0 and up
Jasper AI Writer,PRODUCTIVITY,4.4,8000000,68M,10000000+,Free,0,Everyone,Productivity,January 3 2026,3.0.0,7.0 and up
Copy.ai Premium,PRODUCTIVITY,4.5,6000000,52M,10000000+,Free,0,Everyone,Productivity,January 3 2026,2.3.0,6.0 and up
Lensa AI Editor,PHOTOGRAPHY,4.6,30000000,145M,500000000+,Free,0,Everyone,Photography,January 3 2026,4.5.0,7.0 and up
RunwayML Video AI,VIDEO_PLAYERS,4.7,10000000,285M,10000000+,Free,0,Everyone,Video Players,January 3 2026,2.0.0,8.0 and up
Synthesia AI Video,VIDEO_PLAYERS,4.5,5000000,195M,1000000+,Free,0,Everyone,Video Players,January 3 2026,1.7.0,7.0 and up
Descript Audio Editor,MUSIC,4.6,8000000,175M,10000000+,Free,0,Everyone,Music & Audio,January 3 2026,5.2.0,7.0 and up
ElevenLabs Voice AI,MUSIC,4.8,12000000,85M,50000000+,Free,0,Everyone,Music & Audio,January 3 2026,3.1.0,7.0 and up
Stability AI Dream,ART_AND_DESIGN,4.7,15000000,225M,50000000+,Free,0,Everyone,Art & Design,January 3 2026,2.8.0,7.0 and up
Hugging Face Chat,PRODUCTIVITY,4.6,7000000,95M,10000000+,Free,0,Everyone,Productivity,January 3 2026,1.9.0,6.0 and up
Anthropic Claude,PRODUCTIVITY,4.9,18000000,125M,50000000+,Free,0,Everyone,Productivity,January 3 2026,2.4.0,7.0 and up
Cohere Generate,PRODUCTIVITY,4.5,4000000,75M,1000000+,Free,0,Everyone,Productivity,January 3 2026,1.6.0,6.0 and up
Replika AI Companion,SOCIAL,4.4,25000000,125M,100000000+,Free,0,Teen,Social,January 3 2026,10.5.0,6.0 and up
BeReal Social Plus,SOCIAL,4.3,35000000,95M,500000000+,Free,0,Teen,Social,January 3 2026,8.2.0,6.0 and up
Threads by Instagram,SOCIAL,4.5,100000000,85M,1000000000+,Free,0,Teen,Social,January 3 2026,320.0,6.0 and up
Bluesky Social,SOCIAL,4.6,15000000,65M,50000000+,Free,0,Teen,Social,January 3 2026,1.75.0,6.0 and up
Mastodon Client,SOCIAL,4.4,8000000,55M,10000000+,Free,0,Everyone,Social,January 3 2026,2.5.0,6.0 and up
Substack Reader,NEWS_AND_MAGAZINES,4.7,12000000,75M,50000000+,Free,0,Everyone,News & Magazines,January 3 2026,3.8.0,6.0 and up
Medium Premium Plus,NEWS_AND_MAGAZINES,4.5,18000000,85M,100000000+,Free,0,Everyone,News & Magazines,January 3 2026,5.2.0,6.0 and up
Feedly Pro AI,NEWS_AND_MAGAZINES,4.6,10000000,68M,10000000+,Free,0,Everyone,News & Magazines,January 3 2026,120.0,6.0 and up
Pocket Premium,NEWS_AND_MAGAZINES,4.5,15000000,52M,50000000+,Free,0,Everyone,News & Magazines,January 3 2026,8.5.0,6.0 and up
Flipboard Magazine,NEWS_AND_MAGAZINES,4.4,20000000,95M,100000000+,Free,0,Everyone,News & Magazines,January 3 2026,4.3.0,6.0 and up
Readwise Reader,BOOKS_AND_REFERENCE,4.8,5000000,75M,1000000+,Free,0,Everyone,Books & Reference,January 3 2026,2.7.0,6.0 and up
Kindle Unlimited Plus,BOOKS_AND_REFERENCE,4.6,40000000,125M,500000000+,Free,0,Everyone,Books & Reference,January 3 2026,10.8.0,6.0 and up
Audible Premium Plus,BOOKS_AND_REFERENCE,4.7,35000000,145M,100000000+,Free,0,Everyone,Books & Reference,January 3 2026,3.65.0,6.0 and up
Scribd Unlimited,BOOKS_AND_REFERENCE,4.5,18000000,95M,50000000+,Free,0,Everyone,Books & Reference,January 3 2026,12.5.0,6.0 and up
